brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating
Lenovo,IdeaPad,Intel,Core i3,10th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,38990,62190,37,3.9
DELL,Inspiron,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,45990,60908,24,4.3
HP,IdeaPad,Intel,Core i3,10th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42490,50294,15,4.3
HP,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,43970,50196,12,4.3
ASUS,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,39990,49990,20,4.3
MSI,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,48990,49590,1,4.5
HP,Pavilion,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,54990,69267,20,4.5
MSI,IdeaPad,Intel,Core i3,10th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,40990,55990,26,4.4
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14.1,1,No,Yes,41990,55990,25,0
Lenovo,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,Yes,No,54990,79690,30,4.5
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,44990,46390,3,4.4
